LIMIT_BAL,Sex,Education,AGE,difference,default,,,
20000,0,3,24,59592,1,,,
160000,1,3,33,797769,1,,,
180000,0,3,25,58602,1,,,
160000,1,4,69,0,1,,,
220000,0,2,30,852137,1,,,
90000,0,3,52,429818,1,,,
280000,1,4,56,1333,1,,,
350000,0,4,60,0,1,,,
290000,1,3,36,364136,1,,,
280000,1,4,35,326498,1,,,
160000,1,3,51,346453,1,,,
210000,0,4,28,0,1,,,
80000,0,2,44,288970,1,,,
20000,1,3,22,81677,1,,,
60000,0,4,38,256939,1,,,
30000,0,3,35,68073,1,,,
20000,0,3,25,79666,1,,,
60000,1,3,31,202001,1,,,
150000,1,4,26,253338,1,,,
50000,0,4,31,218729,1,,,
40000,0,3,38,189343,1,,,
360000,1,4,27,111535,1,,,
340000,1,4,33,300886,1,,,
360000,0,3,35,300,1,,,
80000,1,1,50,448311,1,,,
160000,0,3,39,179538,1,,,
60000,1,2,39,134756,1,,,
410000,1,4,31,-4800,1,,,
20000,1,2,56,49659,1,,,
50000,1,4,23,234950,1,,,
20000,0,4,23,68143,1,,,
60000,0,3,35,178060,1,,,
5.00E+05,0,4,62,0,1,,,
50000,0,4,27,33826,1,,,
60000,1,3,26,267164,1,,,
120000,0,4,35,558602,1,,,
490000,0,4,33,48670,1,,,
50000,1,2,46,13825,1,,,
160000,0,4,25,7858,1,,,
120000,1,3,25,0,1,,,
60000,0,3,30,85329,1,,,
30000,1,3,23,114125,1,,,
150000,0,3,39,411849,1,,,
50000,1,4,28,99542,1,,,
420000,0,4,36,42355,1,,,
80000,1,3,29,299785,1,,,
1.00E+05,0,2,52,27549,1,,,
290000,0,3,30,841404,1,,,
130000,1,4,24,28655,1,,,
30000,0,3,40,125706,1,,,
140000,0,3,38,651481,1,,,
20000,0,3,33,36850,1,,,
20000,0,3,45,96620,1,,,
30000,0,3,39,78921,1,,,
20000,0,3,34,86543,1,,,
190000,1,4,26,5043,1,,,
50000,0,3,24,213035,1,,,
50000,1,2,55,233061,1,,,
120000,1,4,30,0,1,,,
130000,0,4,40,312101,1,,,
60000,1,4,29,267217,1,,,
70000,0,2,30,299617,1,,,
90000,0,2,23,174192,1,,,
20000,0,3,25,68673,1,,,
60000,0,3,25,77270,1,,,
50000,1,4,26,0,1,,,
30000,1,3,22,133388,1,,,
50000,0,2,31,135647,1,,,
220000,1,4,46,991739,1,,,
210000,1,4,29,1021,1,,,
50000,1,2,58,33711,1,,,
2.00E+05,0,4,41,84386,1,,,
180000,0,3,35,126003,1,,,
50000,1,3,26,0,1,,,
2.00E+05,1,4,28,37793,1,,,
20000,0,3,36,12000,1,,,
120000,1,3,23,5650,1,,,
30000,1,3,22,130215,1,,,
20000,1,4,23,83877,1,,,
70000,0,3,28,130986,1,,,
20000,0,4,30,42466,1,,,
60000,1,4,43,990,1,,,
1.00E+05,1,2,46,225564,1,,,
4.00E+05,1,4,28,9711,1,,,
80000,0,3,30,256366,1,,,
290000,0,4,63,949498,1,,,
250000,1,4,26,991193,1,,,
50000,1,4,30,215361,1,,,
50000,0,4,48,221978,1,,,
350000,1,3,36,11525,1,,,
30000,0,4,57,125666,1,,,
70000,1,3,26,301480,1,,,
210000,1,4,43,0,1,,,
240000,1,4,26,3346,1,,,
360000,0,3,30,7500,1,,,
10000,0,2,39,45018,1,,,
110000,0,3,50,124962,1,,,
120000,1,4,36,-710,1,,,
240000,0,4,60,807894,1,,,
90000,0,3,34,94249,1,,,
50000,0,4,26,0,1,,,
120000,0,2,42,0,1,,,
480000,0,4,49,-3251,1,,,
2.00E+05,0,4,42,843361,1,,,
20000,0,3,37,45688,1,,,
10000,0,3,36,40241,1,,,
360000,1,3,51,-390,1,,,
240000,1,3,38,0,1,,,
30000,1,3,27,135063,1,,,
220000,0,2,39,890800,1,,,
220000,0,4,42,18693,1,,,
160000,0,3,33,411810,1,,,
50000,0,4,36,149179,1,,,
30000,0,3,45,73513,1,,,
20000,1,4,23,54791,1,,,
30000,0,3,33,127947,1,,,
80000,0,3,27,226834,1,,,
120000,1,4,32,0,1,,,
150000,0,4,33,1000,1,,,
360000,1,2,38,98069,1,,,
180000,1,3,27,85785,1,,,
220000,0,1,37,699994,1,,,
80000,1,3,40,176363,1,,,
10000,0,3,45,16482,1,,,
50000,1,4,24,146682,1,,,
220000,1,3,33,702602,1,,,
60000,0,3,23,-949,1,,,
20000,1,2,45,113869,1,,,
290000,0,4,37,674784,1,,,
80000,0,3,29,304070,1,,,
90000,1,3,32,425749,1,,,
130000,1,3,29,206743,1,,,
20000,1,2,27,60837,1,,,
170000,0,3,27,780,1,,,
420000,0,4,33,-190,1,,,
40000,0,2,43,12000,1,,,
50000,1,4,28,248192,1,,,
30000,1,2,36,129125,1,,,
20000,1,4,29,-6,1,,,
30000,1,2,24,110176,1,,,
2.00E+05,1,3,44,16811,1,,,
2.00E+05,0,3,40,817021,1,,,
30000,0,4,56,137555,1,,,
150000,1,3,27,412114,1,,,
180000,1,3,38,200737,1,,,
240000,1,3,37,1408,1,,,
150000,1,3,24,-213,1,,,
80000,1,4,44,-65,1,,,
4.00E+05,0,4,34,3945,1,,,
30000,0,3,24,0,1,,,
170000,0,3,37,392359,1,,,
30000,1,3,22,113544,1,,,
140000,1,3,31,152,1,,,
160000,1,3,44,11936,1,,,
3.00E+05,1,4,40,26589,1,,,
20000,0,4,31,41081,1,,,
260000,1,4,30,461782,1,,,
230000,1,4,27,61367,1,,,
90000,1,3,40,29729,1,,,
310000,1,3,31,717718,1,,,
20000,0,3,23,87163,1,,,
2.00E+05,0,3,40,687671,1,,,
70000,1,4,43,254888,1,,,
30000,1,2,38,33377,1,,,
140000,1,3,50,677434,1,,,
50000,0,2,57,70445,1,,,
20000,0,2,23,380,1,,,
20000,1,4,23,10838,1,,,
230000,1,4,42,476,1,,,
50000,1,4,42,42023,1,,,
80000,1,2,41,291500,1,,,
2.00E+05,1,2,47,953998,1,,,
50000,0,2,50,52297,1,,,
50000,0,3,28,51400,1,,,
370000,0,3,38,1624972,1,,,
80000,1,2,35,349082,1,,,
90000,1,3,34,7500,1,,,
440000,1,4,54,914191,1,,,
50000,1,3,36,200001,1,,,
70000,1,3,27,277947,1,,,
170000,1,4,32,0,1,,,
230000,1,4,36,0,1,,,
140000,1,4,40,565115,1,,,
80000,0,3,25,344969,1,,,
50000,1,2,39,67134,1,,,
90000,1,3,26,298486,1,,,
270000,1,3,53,-52533,1,,,
50000,0,4,26,1926,1,,,
1.00E+05,1,2,50,334787,1,,,
30000,0,3,38,57921,1,,,
50000,0,3,55,84941,1,,,
2.00E+05,0,3,40,903479,1,,,
140000,1,3,28,585227,1,,,
20000,0,3,25,84134,1,,,
50000,0,3,24,169132,1,,,
30000,1,2,29,68523,1,,,
10000,1,2,54,-390,1,,,
10000,0,2,30,47725,1,,,
150000,1,3,31,116434,1,,,
160000,1,3,26,796,1,,,
50000,0,3,61,0,1,,,
20000,1,2,36,92656,1,,,
20000,1,3,22,65246,1,,,
80000,1,3,46,317305,1,,,
50000,1,2,35,0,1,,,
260000,0,2,50,802,1,,,
120000,0,4,50,196285,1,,,
60000,1,2,23,226396,1,,,
240000,0,4,38,0,1,,,
2.00E+05,1,4,40,0,1,,,
70000,1,4,25,187566,1,,,
1.00E+05,0,3,25,46978,1,,,
360000,1,3,39,-8,1,,,
50000,1,3,31,149736,1,,,
150000,1,3,49,0,1,,,
210000,1,4,26,589117,1,,,
30000,1,2,41,122683,1,,,
110000,1,2,43,423985,1,,,
420000,0,4,36,10,1,,,
1.00E+05,1,4,37,0,1,,,
50000,0,3,28,138959,1,,,
80000,1,3,33,241939,1,,,
40000,0,3,47,186339,1,,,
90000,1,4,38,316800,1,,,
710000,0,3,51,0,1,,,
3.00E+05,0,3,38,7979,1,,,
50000,0,4,25,22899,1,,,
30000,0,3,25,143802,1,,,
20000,0,3,36,84048,1,,,
30000,0,3,37,111712,1,,,
230000,1,1,26,500,1,,,
1.00E+05,1,4,42,233120,1,,,
160000,0,2,28,648059,1,,,
1.00E+05,1,3,25,281108,1,,,
50000,0,4,34,0,1,,,
230000,1,3,33,0,1,,,
50000,0,3,43,143311,1,,,
270000,0,4,48,169621,1,,,
1.00E+05,1,3,50,227459,1,,,
2.00E+05,0,4,34,361,1,,,
50000,0,3,47,62099,1,,,
60000,1,2,28,171127,1,,,
80000,1,3,34,329730,1,,,
80000,1,4,28,29691,1,,,
50000,1,4,27,167727,1,,,
360000,1,4,35,0,1,,,
10000,1,2,42,32697,1,,,
90000,1,3,24,430749,1,,,
80000,0,4,39,375751,1,,,
170000,1,3,23,625989,1,,,
380000,1,4,31,341051,1,,,
40000,0,4,33,115930,1,,,
170000,1,3,27,92358,1,,,
230000,1,3,52,3463,1,,,
320000,1,4,42,1425299,1,,,
80000,1,4,34,327465,1,,,
130000,1,4,27,5168,1,,,
140000,1,3,31,627436,1,,,
80000,1,3,41,216973,1,,,
460000,0,4,42,1455,1,,,
2.00E+05,1,3,29,0,1,,,
10000,1,3,46,40274,1,,,
2.00E+05,0,3,38,488475,1,,,
360000,1,4,46,-6232,1,,,
30000,1,2,40,118907,1,,,
110000,1,3,28,434684,1,,,
1.00E+05,1,2,32,25110,1,,,
50000,0,4,28,85772,1,,,
1.00E+05,0,3,44,303848,1,,,
20000,0,3,26,57365,1,,,
130000,1,4,27,54996,1,,,
3.00E+05,1,3,30,988801,1,,,
170000,1,3,26,82979,1,,,
110000,1,4,29,497692,1,,,
30000,1,3,24,129187,1,,,
150000,1,4,32,607576,1,,,
80000,1,3,25,0,1,,,
40000,1,3,23,49768,1,,,
120000,1,3,33,267521,1,,,
90000,1,4,24,110683,1,,,
180000,0,2,43,728857,1,,,
4.00E+05,1,4,32,95311,1,,,
150000,1,4,29,399,1,,,
10000,1,3,24,780,1,,,
240000,0,3,39,1155825,1,,,
20000,1,2,45,35043,1,,,
240000,1,3,47,642761,1,,,
80000,1,2,24,2561,1,,,
150000,1,2,45,28219,1,,,
1.00E+05,1,4,28,249055,1,,,
50000,1,2,42,141707,1,,,
360000,1,2,30,780,1,,,
20000,0,3,23,86645,1,,,
220000,0,4,30,431687,1,,,
130000,1,3,48,218,1,,,
30000,1,3,39,134648,1,,,
1.00E+05,0,4,46,327345,1,,,
20000,1,3,22,87712,1,,,
120000,0,3,27,531629,1,,,
50000,0,4,39,153165,1,,,
16000,1,3,48,24792,1,,,
2.00E+05,0,4,29,49713,1,,,
20000,0,2,44,65334,1,,,
140000,1,3,24,199894,1,,,
10000,0,2,41,29029,1,,,
10000,0,4,23,7795,1,,,
50000,1,3,25,35755,1,,,
110000,0,3,30,416947,1,,,
60000,1,3,30,77193,1,,,
220000,0,4,25,11474,1,,,
60000,1,3,35,115525,1,,,
240000,1,4,29,0,1,,,
50000,1,2,51,390,1,,,
50000,1,2,43,80216,1,,,
30000,1,4,29,64766,1,,,
50000,0,3,46,105032,1,,,
210000,1,4,42,0,1,,,
60000,1,4,27,104487,1,,,
60000,1,3,23,0,1,,,
220000,0,4,28,746730,1,,,
20000,1,3,39,25285,1,,,
90000,1,4,30,4850,1,,,
150000,0,4,31,652134,1,,,
3.00E+05,1,4,36,10800,1,,,
50000,1,3,30,166700,1,,,
4.00E+05,1,3,30,129318,1,,,
2.00E+05,1,3,31,2563,1,,,
30000,1,3,36,96128,1,,,
30000,0,3,26,117109,1,,,
2.00E+05,0,3,46,-8,1,,,
130000,0,4,36,576061,1,,,
90000,0,4,32,389395,1,,,
360000,0,4,35,0,1,,,
50000,1,3,41,0,1,,,
40000,1,3,38,185274,1,,,
50000,0,2,50,171771,1,,,
20000,0,2,40,1500,1,,,
50000,1,4,23,171703,1,,,
50000,0,4,29,77338,1,,,
30000,1,4,24,2378,1,,,
60000,1,4,25,0,1,,,
1.00E+05,1,2,47,1672,1,,,
130000,0,2,43,286106,1,,,
50000,0,3,25,39169,1,,,
60000,0,4,30,216388,1,,,
20000,1,3,22,48808,1,,,
140000,1,2,31,450933,1,,,
80000,0,4,29,-54,1,,,
2.00E+05,0,3,41,2505,1,,,
360000,0,3,28,0,1,,,
210000,1,3,33,818201,1,,,
20000,1,3,44,75064,1,,,
230000,1,4,32,-11,1,,,
180000,1,3,60,815033,1,,,
30000,1,3,24,131125,1,,,
30000,1,3,28,103733,1,,,
610000,1,4,43,2036574,1,,,
30000,1,3,23,55149,1,,,
70000,0,4,29,171171,1,,,
320000,1,3,30,0,1,,,
30000,1,2,47,137254,1,,,
240000,0,4,34,16376,1,,,
70000,0,2,35,243108,1,,,
80000,1,4,27,11155,1,,,
50000,1,2,61,118052,1,,,
10000,1,4,23,31185,1,,,
310000,0,4,29,474701,1,,,
30000,1,3,49,87430,1,,,
2.00E+05,1,2,30,740,1,,,
30000,1,3,52,131011,1,,,
80000,0,3,27,69444,1,,,
50000,1,2,61,201124,1,,,
2.00E+05,1,1,41,0,1,,,
20000,1,4,26,92325,1,,,
3.00E+05,1,3,43,0,1,,,
360000,0,3,49,-123,1,,,
50000,1,3,34,164150,1,,,
50000,0,3,32,7506,1,,,
130000,1,3,37,171826,1,,,
30000,1,2,22,170209,1,,,
30000,0,4,29,67959,1,,,
270000,1,2,47,123,1,,,
70000,1,4,30,68657,1,,,
2.00E+05,0,4,30,94370,1,,,
60000,1,4,27,42450,1,,,
70000,0,4,27,-1908,1,,,
50000,0,3,54,171809,1,,,
160000,1,2,54,0,1,,,
90000,1,3,43,89896,1,,,
20000,0,2,48,78993,1,,,
10000,0,2,52,36556,1,,,
260000,1,4,53,-72,1,,,
80000,0,3,29,295879,1,,,
2.00E+05,0,4,54,16253,1,,,
2.00E+05,0,3,27,118670,1,,,
80000,1,4,24,305741,1,,,
20000,1,2,31,63104,1,,,
180000,0,4,45,0,1,,,
140000,0,2,45,649045,1,,,
50000,0,3,25,190489,1,,,
2.00E+05,0,3,66,-6,1,,,
4.00E+05,1,3,44,-251,1,,,
210000,0,4,27,0,1,,,
240000,1,3,44,1068479,1,,,
30000,1,2,26,124621,1,,,
20000,0,3,24,86755,1,,,
2.00E+05,0,3,41,2706,1,,,
450000,0,4,37,1919906,1,,,
50000,1,3,40,175417,1,,,
30000,0,3,49,-490,1,,,
30000,0,3,27,142339,1,,,
80000,0,4,25,930,1,,,
360000,1,3,35,1650553,1,,,
360000,1,4,30,-421,1,,,
20000,1,4,25,79352,1,,,
80000,0,2,44,294859,1,,,
90000,1,2,28,330122,1,,,
30000,0,3,36,101004,1,,,
180000,1,2,41,14659,1,,,
30000,0,2,50,173899,1,,,
60000,1,4,26,135523,1,,,
240000,1,3,36,1095632,1,,,
280000,1,2,37,15146,1,,,
20000,0,2,31,82520,1,,,
360000,0,3,33,-7144,1,,,
2.00E+05,1,3,32,-768,1,,,
30000,1,4,23,7921,1,,,
50000,0,2,54,178677,1,,,
360000,1,4,45,1170,1,,,
240000,1,3,27,3663,1,,,
40000,0,3,27,222373,1,,,
120000,0,2,50,583197,1,,,
90000,0,3,30,225738,1,,,
20000,1,3,41,13834,1,,,
50000,1,3,41,144414,1,,,
50000,1,4,23,0,1,,,
180000,1,4,28,0,1,,,
2.00E+05,0,3,29,125015,1,,,
20000,0,2,22,83474,1,,,
10000,1,3,46,9507,1,,,
150000,0,3,27,306759,1,,,
20000,0,3,53,84233,1,,,
10000,1,2,52,18128,1,,,
190000,0,3,35,0,1,,,
50000,1,4,50,214492,1,,,
90000,0,2,27,348379,1,,,
20000,0,3,25,91721,1,,,
160000,1,3,31,536513,1,,,
170000,0,4,30,998,1,,,
50000,0,4,28,36002,1,,,
80000,1,4,25,271220,1,,,
10000,0,4,36,47556,1,,,
3.00E+05,0,4,32,24028,1,,,
110000,1,4,44,461166,1,,,
70000,1,3,33,136066,1,,,
1.00E+05,1,3,33,368155,1,,,
250000,1,4,32,364912,1,,,
30000,0,4,52,87259,1,,,
310000,0,4,32,1172049,1,,,
210000,1,4,32,0,1,,,
3.00E+05,1,3,40,0,1,,,
3.00E+05,0,4,27,0,1,,,
180000,1,3,36,0,1,,,
370000,0,4,40,0,1,,,
80000,1,3,56,-406,1,,,
50000,1,3,43,97465,1,,,
170000,0,4,33,238472,1,,,
50000,1,3,26,8207,1,,,
20000,0,3,28,80988,1,,,
1.00E+05,1,2,24,279792,1,,,
220000,1,2,40,845732,1,,,
150000,0,4,40,502700,1,,,
150000,1,3,30,326011,1,,,
250000,0,4,33,-258,1,,,
50000,1,4,35,134,1,,,
30000,0,3,27,8250,1,,,
140000,1,4,30,678496,1,,,
50000,1,3,51,60125,1,,,
80000,0,2,24,-416,1,,,
30000,1,2,54,122507,1,,,
150000,1,4,33,0,1,,,
240000,0,3,33,431655,1,,,
30000,0,2,28,126858,1,,,
240000,1,3,44,0,1,,,
40000,1,3,53,73641,1,,,
80000,1,3,64,347189,1,,,
50000,0,3,49,123600,1,,,
50000,1,3,37,161771,1,,,
90000,1,2,45,261527,1,,,
50000,1,3,24,19936,1,,,
5.00E+05,0,4,31,10788,1,,,
320000,1,4,33,0,1,,,
180000,1,3,42,1363644,1,,,
2.00E+05,1,4,31,-2,1,,,
210000,1,4,27,112283,1,,,
80000,1,2,30,211776,1,,,
160000,1,4,33,3556,1,,,
30000,1,2,46,140584,1,,,
50000,1,3,22,95851,1,,,
170000,1,3,24,12491,1,,,
50000,1,3,44,131152,1,,,
150000,1,4,28,3269,1,,,
130000,1,2,26,619430,1,,,
50000,0,3,31,57649,1,,,
150000,1,3,29,506057,1,,,
120000,1,3,37,135822,1,,,
60000,0,2,38,126081,1,,,
2.00E+05,1,4,39,0,1,,,
1.00E+05,0,3,32,0,1,,,
80000,0,3,36,380934,1,,,
70000,1,3,28,43451,1,,,
2.00E+05,1,4,28,83942,1,,,
2.00E+05,0,3,44,1170,1,,,
240000,1,4,28,0,1,,,
1.00E+05,1,3,38,174383,1,,,
140000,0,3,41,688429,1,,,
360000,1,4,42,1224,1,,,
20000,1,3,46,90978,1,,,
30000,0,3,34,129329,1,,,
180000,1,3,28,175676,1,,,
2.00E+05,0,1,40,454414,1,,,
80000,1,3,22,7000,1,,,
20000,0,2,32,88891,1,,,
30000,1,3,25,105175,1,,,
280000,1,4,36,0,1,,,
50000,0,2,41,141139,1,,,
1.00E+05,0,3,33,337430,1,,,
30000,1,3,31,91167,1,,,
20000,0,2,34,11129,1,,,
60000,1,3,34,215452,1,,,
20000,1,3,29,74189,1,,,
50000,1,2,59,221547,1,,,
360000,0,4,34,0,1,,,
290000,0,4,38,1203516,1,,,
230000,1,4,44,0,1,,,
320000,0,4,31,-253935,1,,,
70000,0,4,40,233065,1,,,
30000,0,2,43,109008,1,,,
30000,0,1,24,91748,1,,,
20000,1,3,45,3246,1,,,
120000,0,4,45,569084,1,,,
1.00E+05,0,4,30,168122,1,,,
450000,0,4,43,0,1,,,
40000,1,3,44,182895,1,,,
140000,1,3,41,222201,1,,,
150000,1,4,39,311540,1,,,
1.00E+05,0,3,32,194492,1,,,
20000,1,3,25,51767,1,,,
280000,1,4,37,-144,1,,,
50000,1,2,26,198656,1,,,
190000,0,3,32,44966,1,,,
30000,1,3,41,22111,1,,,
20000,0,3,32,92069,1,,,
20000,0,2,39,81006,1,,,
320000,1,3,43,1691652,1,,,
350000,0,4,41,0,1,,,
60000,1,2,44,145114,1,,,
20000,0,2,32,39302,1,,,
20000,0,4,33,90092,1,,,
10000,1,2,53,19853,1,,,
120000,1,4,27,16453,1,,,
50000,0,2,22,90112,1,,,
80000,0,2,43,160354,1,,,
50000,0,2,43,51193,1,,,
20000,0,1,41,73991,1,,,
90000,1,2,39,873,1,,,
50000,1,4,23,50356,1,,,
30000,1,3,26,143764,1,,,
160000,1,2,29,0,1,,,
50000,0,3,36,93332,1,,,
70000,1,3,27,179971,1,,,
50000,1,3,40,112993,1,,,
60000,1,3,35,66620,1,,,
30000,1,3,35,8122,1,,,
30000,1,2,53,74572,1,,,
10000,1,2,49,864,1,,,
1.00E+05,1,3,30,103197,1,,,
60000,1,3,29,24533,1,,,
50000,0,2,45,-130,1,,,
50000,1,2,49,183670,1,,,
50000,0,3,25,89871,1,,,
230000,1,3,39,703330,1,,,
190000,0,2,26,479209,1,,,
2.00E+05,1,3,47,0,1,,,
20000,0,3,23,49612,1,,,
2.00E+05,0,2,34,835719,1,,,
5.00E+05,1,4,41,0,1,,,
310000,1,1,35,0,1,,,
220000,1,3,36,927027,1,,,
20000,0,2,24,77094,1,,,
70000,1,3,31,75466,1,,,
60000,1,3,26,274836,1,,,
1.00E+05,0,4,52,116035,1,,,
30000,1,2,33,122057,1,,,
60000,1,3,26,35686,1,,,
260000,1,3,37,36523,1,,,
60000,0,3,26,243691,1,,,
50000,1,2,70,187282,1,,,
1.00E+05,1,2,56,144219,1,,,
30000,1,2,27,67574,1,,,
40000,0,3,35,0,1,,,
50000,1,3,22,141256,1,,,
330000,1,3,43,-5953,1,,,
80000,1,3,34,103497,1,,,
50000,1,3,26,91207,1,,,
50000,0,3,45,94016,1,,,
50000,0,3,25,89955,1,,,
50000,1,3,23,141349,1,,,
50000,0,3,47,126470,1,,,
1.00E+05,1,4,29,288303,1,,,
20000,0,3,28,44581,1,,,
240000,0,3,31,0,1,,,
110000,1,4,29,502550,1,,,
180000,1,4,31,403274,1,,,
30000,1,3,24,750,1,,,
320000,0,4,35,0,1,,,
20000,0,3,45,107039,1,,,
20000,1,3,23,67300,1,,,
3.00E+05,1,4,38,12751,1,,,
10000,0,3,21,44527,1,,,
50000,1,3,31,156970,1,,,
360000,1,3,34,0,1,,,
50000,1,3,35,75157,1,,,
20000,0,3,50,81006,1,,,
80000,0,3,53,43512,1,,,
20000,0,4,34,21030,1,,,
140000,0,2,45,394049,1,,,
180000,1,4,35,6276,1,,,
50000,1,2,37,197832,1,,,
20000,1,3,25,90862,1,,,
30000,1,3,41,90310,1,,,
80000,0,4,28,3173,1,,,
190000,0,3,40,754759,1,,,
1.00E+05,0,3,44,18214,1,,,
50000,0,3,45,94894,1,,,
150000,1,3,24,0,1,,,
230000,1,3,36,921,1,,,
30000,1,3,60,0,1,,,
50000,1,3,34,168881,1,,,
40000,1,3,24,102903,1,,,
80000,1,3,32,358777,1,,,
1.00E+05,0,4,33,340159,1,,,
50000,0,2,55,76231,1,,,
2.00E+05,1,3,46,155715,1,,,
2.00E+05,0,4,46,333373,1,,,
150000,1,4,31,-2961,1,,,
70000,1,3,42,226285,1,,,
240000,1,2,38,545411,1,,,
180000,1,4,45,109906,1,,,
20000,1,3,32,88912,1,,,
70000,1,3,37,176447,1,,,
50000,0,3,29,120257,1,,,
110000,1,4,31,0,1,,,
30000,1,3,25,71965,1,,,
80000,0,4,46,206091,1,,,
30000,1,3,24,1500,1,,,
210000,0,2,25,21634,1,,,
80000,1,3,38,380212,1,,,
1.00E+05,0,4,32,394629,1,,,
320000,1,3,37,1485962,1,,,
360000,1,4,43,-390,1,,,
360000,1,4,47,1232748,1,,,
10000,1,2,45,43964,1,,,
130000,1,4,25,0,1,,,
20000,0,3,28,600,1,,,
360000,1,2,39,-2,1,,,
250000,1,4,43,3774,1,,,
30000,1,3,25,123724,1,,,
50000,1,3,51,234432,1,,,
30000,1,4,38,115952,1,,,
180000,1,3,29,38087,1,,,
50000,0,2,31,57388,1,,,
50000,1,4,27,169994,1,,,
20000,1,3,43,131794,1,,,
130000,1,3,26,455351,1,,,
50000,0,3,31,68452,1,,,
50000,1,2,50,2708,1,,,
180000,1,3,32,0,1,,,
50000,0,4,41,105721,1,,,
30000,0,3,28,134850,1,,,
190000,0,4,50,354289,1,,,
290000,1,4,35,0,1,,,
60000,1,2,23,70757,1,,,
180000,0,2,47,339450,1,,,
20000,0,3,40,81991,1,,,
210000,1,4,33,2268,1,,,
60000,1,3,31,139597,1,,,
50000,1,3,25,74212,1,,,
390000,1,4,27,1849942,1,,,
80000,1,3,42,373460,1,,,
160000,0,4,49,316,1,,,
110000,1,3,42,235367,1,,,
140000,0,3,45,521330,1,,,
30000,0,3,35,110608,1,,,
450000,1,4,37,0,1,,,
2.00E+05,1,1,51,1675983,1,,,
50000,0,2,57,63830,1,,,
430000,0,4,34,-5100,1,,,
230000,0,3,34,99,1,,,
50000,1,3,30,-5426,1,,,
240000,0,4,33,0,1,,,
240000,1,3,53,330360,1,,,
50000,1,3,37,192048,1,,,
160000,0,4,38,0,1,,,
180000,1,2,39,60571,1,,,
110000,0,3,30,166606,1,,,
60000,1,3,37,248298,1,,,
160000,1,3,47,0,1,,,
390000,1,4,27,3339,1,,,
50000,0,3,28,1110,1,,,
60000,1,4,27,12016,1,,,
10000,0,3,24,23651,1,,,
30000,1,2,32,132063,1,,,
20000,0,3,22,81280,1,,,
130000,0,4,27,0,1,,,
80000,1,2,65,288637,1,,,
150000,0,3,36,433365,1,,,
40000,0,3,26,178250,1,,,
20000,0,3,24,39382,1,,,
2.00E+05,0,4,59,142788,1,,,
50000,1,2,27,218805,1,,,
190000,1,2,47,770547,1,,,
120000,0,3,25,182474,1,,,
2.00E+05,1,4,44,-200,1,,,
120000,1,3,59,412860,1,,,
260000,0,4,35,739670,1,,,
5.00E+05,1,3,45,-1923,1,,,
3.00E+05,1,3,30,10085,1,,,
30000,1,3,34,130290,1,,,
1.00E+05,1,4,25,-150953,1,,,
50000,0,3,51,75563,1,,,
50000,1,3,51,4496,1,,,
50000,1,3,41,155968,1,,,
1.00E+05,0,4,34,748,1,,,
130000,0,3,44,69039,1,,,
2.00E+05,1,3,25,631565,1,,,
60000,0,4,51,184272,1,,,
50000,0,3,44,641857,1,,,
10000,0,3,24,25107,1,,,
60000,1,3,59,283902,1,,,
20000,1,3,50,77818,1,,,
110000,1,2,37,295657,1,,,
50000,0,4,56,119460,1,,,
450000,1,4,42,-400,1,,,
2.00E+05,0,3,40,94253,1,,,
140000,1,4,24,0,1,,,
1.00E+05,1,2,32,177162,1,,,
50000,0,3,23,144673,1,,,
110000,0,2,37,278184,1,,,
80000,1,4,22,9428,1,,,
80000,1,2,23,298040,1,,,
360000,1,3,38,0,1,,,
150000,1,3,28,254923,1,,,
50000,1,3,34,224003,1,,,
280000,1,4,38,0,1,,,
230000,1,4,28,414571,1,,,
120000,1,4,30,0,1,,,
20000,1,4,23,109235,1,,,
1.00E+05,1,3,41,358614,1,,,
140000,1,4,31,512401,1,,,
1.00E+05,1,2,51,0,1,,,
240000,0,4,27,13751,1,,,
280000,0,4,36,-200,1,,,
140000,1,3,41,230191,1,,,
50000,0,3,29,187661,1,,,
50000,1,3,25,180580,1,,,
50000,1,3,29,98693,1,,,
20000,1,3,21,0,1,,,
50000,1,2,53,214220,1,,,
20000,1,4,26,-300,1,,,
130000,0,3,42,-260,1,,,
160000,1,2,44,0,1,,,
210000,1,3,27,655937,1,,,
1.00E+05,1,3,44,386406,1,,,
250000,1,4,34,724467,1,,,
310000,1,4,47,532123,1,,,
30000,1,2,47,133450,1,,,
60000,0,3,26,352382,1,,,
20000,0,2,26,53015,1,,,
130000,1,3,28,192599,1,,,
80000,1,3,25,330410,1,,,
110000,0,3,25,131855,1,,,
20000,1,4,24,92095,1,,,
20000,1,3,35,75418,1,,,
20000,1,3,23,68149,1,,,
170000,1,3,36,6608,1,,,
130000,1,4,27,0,1,,,
20000,0,3,35,85546,1,,,
160000,1,3,32,47621,1,,,
50000,0,2,42,32893,1,,,
220000,0,4,29,157596,1,,,
50000,1,3,34,285084,1,,,
30000,0,4,57,129720,1,,,
40000,1,2,24,27334,1,,,
4.00E+05,1,3,39,10224,1,,,
80000,0,1,23,960,1,,,
150000,1,4,29,119569,1,,,
80000,0,3,41,277207,1,,,
80000,0,4,42,230405,1,,,
20000,0,2,24,57459,1,,,
170000,1,4,31,0,1,,,
70000,1,2,71,281910,1,,,
80000,1,4,42,96918,1,,,
120000,1,3,37,148033,1,,,
360000,1,3,28,4100,1,,,
